log_stamp	log_date	request_count	agent_count	uri_count
2017-06-02	02.06.2017	2	1	2
2017-06-03	03.06.2017	38	4	38
2017-06-04	04.06.2017	48	3	46
2017-06-05	05.06.2017	3	1	3
2017-06-06	06.06.2017	9	2	5
2017-06-07	07.06.2017	11	2	11
2017-06-08	08.06.2017	9	1	9
2017-06-09	09.06.2017	29	2	29
2017-06-10	10.06.2017	3	1	3
2017-06-11	11.06.2017	6	1	6
2017-06-12	12.06.2017	11	4	9
2017-06-13	13.06.2017	5	3	5
2017-06-14	14.06.2017	17	3	17
2017-06-15	15.06.2017	37	3	35
2017-06-16	16.06.2017	37	3	34
2017-06-17	17.06.2017	4	2	4
2017-06-18	18.06.2017	2	2	2
2017-06-19	19.06.2017	24	2	13
2017-06-20	20.06.2017	1	1	1
2017-06-21	21.06.2017	11	5	8
2017-06-22	22.06.2017	393	4	110
2017-06-23	23.06.2017	34	3	30
2017-06-24	24.06.2017	2	2	2
2017-06-25	25.06.2017	11	4	11
2017-06-26	26.06.2017	2	1	1
2017-06-27	27.06.2017	2	2	2
2017-06-28	28.06.2017	63	6	34
2017-06-29	29.06.2017	213	4	108
2017-06-30	30.06.2017	607	3	112
2017-07-02	02.07.2017	581	3	109
2017-07-03	03.07.2017	397	2	111
2017-07-04	04.07.2017	770	1	105
2017-07-05	05.07.2017	713	2	106
2017-07-06	06.07.2017	196	5	101
2017-07-07	07.07.2017	2	1	1
2017-07-08	08.07.2017	13	3	10
2017-07-09	09.07.2017	212	3	107
2017-07-10	10.07.2017	550	3	107
2017-07-11	11.07.2017	151	2	77
2017-07-12	12.07.2017	349	3	112
2017-07-13	13.07.2017	190	3	96
2017-07-14	14.07.2017	1062	5	114
2017-07-15	15.07.2017	671	2	106
2017-07-16	16.07.2017	426	4	110
2017-07-17	17.07.2017	1	1	1
2017-07-18	18.07.2017	421	2	106
2017-07-19	19.07.2017	400	1	105
2017-07-20	20.07.2017	213	2	108
2017-07-21	21.07.2017	818	3	109
2017-07-22	22.07.2017	228	5	116
2017-07-23	23.07.2017	255	4	153
2017-07-24	24.07.2017	688	4	129
2017-07-25	25.07.2017	369	3	114
2017-07-26	26.07.2017	425	3	109
2017-07-27	27.07.2017	624	1	105
2017-07-28	28.07.2017	713	6	112
2017-07-29	29.07.2017	284	2	99
2017-07-30	30.07.2017	215	4	110
2017-07-31	31.07.2017	8	1	3
2017-08-01	01.08.2017	11	3	7
2017-08-02	02.08.2017	751	5	114
2017-08-03	03.08.2017	1026	5	109
2017-08-04	04.08.2017	610	4	111
2017-08-05	05.08.2017	909	4	113
2017-08-06	06.08.2017	406	4	111
2017-08-07	07.08.2017	383	2	106
2017-08-09	09.08.2017	1	1	1
2017-08-10	10.08.2017	193	2	97
2017-08-11	11.08.2017	241	5	101
2017-08-12	12.08.2017	218	4	113
2017-08-13	13.08.2017	644	7	119
2017-08-14	14.08.2017	428	5	112
2017-08-15	15.08.2017	466	5	120
2017-08-16	16.08.2017	344	4	113
2017-08-17	17.08.2017	941	3	108
2017-08-18	18.08.2017	605	4	108
2017-08-19	19.08.2017	300	6	126
2017-08-20	20.08.2017	695	4	113
2017-08-21	21.08.2017	604	1	105
2017-08-22	22.08.2017	380	4	111
2017-08-23	23.08.2017	186	5	96
2017-08-24	24.08.2017	24	5	16
2017-08-25	25.08.2017	391	4	110
2017-08-26	26.08.2017	635	4	109
2017-08-27	27.08.2017	362	5	115
2017-08-28	28.08.2017	551	3	112
2017-08-29	29.08.2017	616	3	110
2017-08-30	30.08.2017	84	5	44
2017-08-31	31.08.2017	206	2	104
2017-09-01	01.09.2017	222	2	111
2017-09-02	02.09.2017	341	6	127
2017-09-03	03.09.2017	123	4	75
2017-09-04	04.09.2017	622	2	111
2017-09-05	05.09.2017	162	5	89
2017-09-06	06.09.2017	5	4	4
2017-09-07	07.09.2017	213	3	107
2017-09-08	08.09.2017	949	5	119
2017-09-09	09.09.2017	436	7	116
2017-09-10	10.09.2017	432	3	112
2017-09-11	11.09.2017	366	5	125
2017-09-12	12.09.2017	572	5	117
2017-09-13	13.09.2017	215	6	110
2017-09-14	14.09.2017	212	2	107
2017-09-15	15.09.2017	220	4	114
2017-09-16	16.09.2017	620	3	111
2017-09-17	17.09.2017	552	4	110
2017-09-18	18.09.2017	484	4	110
2017-09-19	19.09.2017	370	3	108
2017-09-20	20.09.2017	779	4	121
2017-09-21	21.09.2017	421	2	106
2017-09-22	22.09.2017	641	5	114
2017-09-23	23.09.2017	740	4	114
2017-09-24	24.09.2017	1257	3	117
2017-09-25	25.09.2017	719	3	114
2017-09-26	26.09.2017	383	1	105
2017-09-27	27.09.2017	382	3	108
2017-09-28	28.09.2017	359	5	113
2017-09-29	29.09.2017	10	3	6
